DATE,House_sold_new(1000)
01-01-1963,560
01-01-1964,565
01-01-1965,575
01-01-1966,461
01-01-1967,487
01-01-1968,490
01-01-1969,448
01-01-1970,485
01-01-1971,656
01-01-1972,718
01-01-1973,634
01-01-1974,519
01-01-1975,549
01-01-1976,646
01-01-1977,819
01-01-1978,817
01-01-1979,709
01-01-1980,545
01-01-1981,436
01-01-1982,412
01-01-1983,623
01-01-1984,639
01-01-1985,688
01-01-1986,750
01-01-1987,671
01-01-1988,676
01-01-1989,650
01-01-1990,534
01-01-1991,509
01-01-1992,610
01-01-1993,666
01-01-1994,670
01-01-1995,667
01-01-1996,757
01-01-1997,804
01-01-1998,886
01-01-1999,880
01-01-2000,877
01-01-2001,908
01-01-2002,973
01-01-2003,1086
01-01-2004,1203
01-01-2005,1283
01-01-2006,1051
01-01-2007,776
01-01-2008,485
01-01-2009,375
01-01-2010,323
01-01-2011,306
01-01-2012,368
01-01-2013,429
01-01-2014,437
01-01-2015,501
01-01-2016,561
01-01-2017,613
01-01-2018,617
01-01-2019,683
01-01-2020,822
01-01-2021,771
